sno,question,a,b,c,d,correct
1,"Our country is spiritual country, theirs.......religious.",is,are,also,have,a
2,"Our sir teaches Mathematics.......English.",across,besides,beside,both,b
3,"Please, come......the bathroom.",out of, over,on,in,a
4,"Please don't laugh......those beggars.",for,against,at,from,c
5,"Please, stop.......so many mistakes.",to make,make,making,makes,c
6,"The English.......English.",speak,spoke,spoken,is spoken,d
7,"The rain comes.......the clouds.",in,near,from,under,c
8,"She......her husband for 15 minutes.",is beating,has been beating,has been beaten,beats,b
9,"The ship......, Robinson arrived on the Island.",had been broken,having been broken,having broken,has broken,b
10,"The stars......counted.",can,can be,cannot be,must,c
